wavelength,counts
1005.7451,30427
1006.0316,30563
1006.3181,30542
1006.6046,30815
1006.891,30819
1007.1774,30950
1007.4639,31159
1007.7503,31093
1008.0368,31521
1008.3232,31526
1008.6097,31728
1008.8961,31573
1009.1825,31746
1009.4689,32206
1009.7554,32023
1010.0418,32126
1010.3282,32345
1010.6146,32224
1010.9011,32350
1011.1874,32383
1011.4739,32359
1011.7603,32313
1012.0467,32293
1012.3331,32372
1012.6194,32392
1012.9059,32245
1013.1923,32174
1013.4786,32083
1013.765,31911
1014.0514,31874
1014.3378,31768
1014.6241,31560
1014.9105,31664
1015.1969,31469
1015.4832,31257
1015.7696,31064
1016.056,31105
1016.3423,31048
1016.6287,30920
1016.915,30455
1017.2014,30460
1017.4877,30402
1017.774,30168
1018.0604,29832
1018.3467,29899
1018.6331,29764
1018.9194,29601
1019.2057,29828
1019.492,29801
1019.7783,29730
1020.0646,29767
1020.351,29677
1020.6373,29375
1020.9236,29221
1021.2098,28740
1021.4962,28276
1021.7825,27947
1022.0687,27102
1022.355,26475
1022.6414,25877
1022.9276,25098
1023.2139,24293
1023.5002,23606
1023.7864,23137
1024.0728,22536
1024.359,21931
1024.6453,21699
1024.9315,21571
1025.2178,21787
1025.504,22335
1025.7903,22916
1026.0765,23998
1026.3628,25755
1026.649,27517
1026.9352,30010
1027.2214,33080
1027.5077,36038
1027.7939,39819
1028.0802,44233
1028.3663,48486
1028.6526,52201
1028.9388,56304
1029.225,60590
1029.5112,64219
1029.7975,66293
1030.0836,67490
1030.3699,68155
1030.656,68232
1030.9423,65955
1031.2284,63043
1031.5146,61659
1031.8008,62117
1032.087,63021
1032.3732,66705
1032.6593,72295
1032.9456,78225
1033.2317,79175
1033.5178,75621
1033.804,74919
1034.0902,78277
1034.3763,85561
1034.6625,91893
1034.9486,98521
1035.2347,106799
1035.5209,111490
1035.807,114137
1036.0931,110456
1036.3793,100070
1036.6654,97261
1036.9515,105482
1037.2377,115157
1037.5238,138871
1037.8099,198782
1038.0961,310037
1038.3822,497103
1038.6683,615641
1038.9543,525758
1039.2405,344675
1039.5266,221798
1039.8126,141481
1040.0988,109730
1040.3849,102237
1040.6709,87277
1040.957,76761
1041.243,71896
1041.5292,71862
1041.8152,77785
1042.1013,76508
1042.3873,64685
1042.6735,52168
1042.9595,43739
1043.2456,37305
1043.5316,31934
1043.8176,27956
1044.1038,25702
1044.3898,25354
1044.6758,24887
1044.9618,23126
1045.2478,20980
1045.5339,19640
1045.8199,18607
1046.106,17718
1046.392,16928
1046.678,15986
1046.964,15491
1047.25,14776
1047.536,13690
1047.822,12818
1048.108,11912
1048.394,11082
1048.6799,10360
1048.9659,9815
1049.252,9196
1049.538,8693
1049.824,8382
1050.1099,8244
1050.3959,8076
1050.6819,7990
1050.9678,7974
1051.2538,8034
1051.5397,8142
1051.8257,8139
1052.1117,8200
1052.3976,8183
1052.6835,8338
1052.9695,8121
1053.2554,8102
1053.5414,7951
1053.8273,7890
1054.1132,7730
1054.3992,7513
1054.6851,7297
1054.9709,7142
1055.257,6969
1055.5428,6834
1055.8287,6490
1056.1146,6294
1056.4005,6135
1056.6864,5924
1056.9723,5798
1057.2582,5566
1057.5441,5415
1057.83,5230
1058.1158,5088
1058.4017,4927
1058.6876,4866
1058.9735,4763
1059.2594,4628
1059.5453,4564
1059.8311,4536
1060.1169,4443
1060.4028,4419
1060.6887,4367
1060.9745,4346
1061.2604,4343
1061.5463,4322
1061.832,4282
1062.1179,4333
1062.4037,4279
1062.6896,4307
1062.9753,4289
1063.2612,4315
1063.547,4290
1063.8329,4328
1064.1187,4294
1064.4044,4279
1064.6903,4248
1064.9761,4267
1065.2618,4285
1065.5476,4264
1065.8335,4262
1066.1193,4217
1066.405,4237
1066.6908,4259
1066.9766,4211
1067.2623,4225
1067.5481,4219
1067.8339,4172
1068.1196,4186
1068.4054,4191
1068.6912,4198
1068.9769,4214
1069.2627,4171
1069.5485,4127
